#Temps	EA1{7}

-4.8E-6	4.91908733919263
-4.7E-6	4.87646962166764
-4.6E-6	4.84387960238382
-4.5E-6	4.80878265853971
-4.4E-6	4.77869956381619
-4.3E-6	4.74109569541179
-4.2E-6	4.70349182700738
-4.1E-6	4.6583671849221
-4E-6	4.60822869371623
-3.9E-6	4.55056942882948
-3.8E-6	4.49040323938243
-3.7E-6	4.4252232008148
-3.6E-6	4.35252238856629
-3.5E-6	4.27230080263689
-3.4E-6	4.18706536758691
-3.3E-6	4.09430915885605
-3.2E-6	3.9965391010046
-3.1E-6	3.89375519403256
-3E-6	3.78345051337965
-2.9E-6	3.66813198360614
-2.8E-6	3.55030652927235
-2.7E-6	3.42245337669738
-2.6E-6	3.29460022412241
-2.5E-6	3.15922629786655
-2.4E-6	3.0238523716107
-2.3E-6	2.88095767167397
-2.2E-6	2.73054219805636
-2.1E-6	2.58263364899904
-2E-6	2.42971125082113
-1.9E-6	2.27428192808293
-1.8E-6	2.11383875622414
-1.7E-6	1.95339558436535
-1.6E-6	1.79044548794627
-1.5E-6	1.6224815424066
-1.4E-6	1.45451759686694
-1.3E-6	1.28655365132727
-1.2E-6	1.11608278122731
-1.1E-6	0.94310498656705
-1E-6	0.772634116467089
-9E-7	0.599656321806833
-8E-7	0.426678527146578
-7E-7	0.253700732486323
-6E-7	0.0807229378260672
-5E-7	-0.087241007713601
-4E-7	-0.257711877813563
-3E-7	-0.428182747913524
-2E-7	-0.596146693453193
-1E-7	-0.761603714432567
0	-0.927060735411942
1E-7	-1.08750390727073
2E-7	-1.24794707912952
3E-7	-1.40337640186772
4E-7	-1.55629880004562
5E-7	-1.70922119822353
6E-7	-1.85462282272056
7E-7	-2.00253137177788
8E-7	-2.14291914715432
9E-7	-2.28079999797046
1E-6	-2.41116007510573
1.1E-6	-2.5365063031204
1.2E-6	-2.66185253113508
1.3E-6	-2.78218491002917
1.4E-6	-2.89499651524238
1.5E-6	-3.0053011958953
1.6E-6	-3.10808510286734
1.7E-6	-3.20836208527908
1.8E-6	-3.29861136944965
1.9E-6	-3.38886065362021
2E-6	-3.4715891641099
2.1E-6	-3.549303825479
2.2E-6	-3.61699078860693
2.3E-6	-3.68467775173485
2.4E-6	-3.75236471486278
2.5E-6	-3.79498243238777
2.6E-6	-3.84512092359364
2.7E-6	-3.88523171655834
2.8E-6	-3.92032866040245
